fecha	peso
2020-02-07	86.5
2020-02-14	85.3
2020-03-06	84.6
2020-04-11	83.5
2020-04-15	82.8
2020-05-01	81.3
2020-05-08	82.0
2020-05-15	80.7
2020-05-22	80.2
2020-05-29	80.2
2020-06-05	80.2
2020-06-12	79.0
2020-06-19	78.8
2020-06-26	78.0
2020-07-03	79.5
2020-07-10	77.0
2020-07-18	78.0
2020-07-24	76.7
2020-08-21	75.75
2020-09-04	75.5
2020-09-11	75.25
2020-09-25	77.0
2020-10-01	77.0
2020-10-09	75.7
2020-10-17	76.2
2020-10-28	74.9
2020-11-20	77.3
2020-12-01	76.5
2020-12-15	76.5
2020-12-20	76.5
2021-01-18	80.0
2021-01-26	79.0
2021-02-12	80.0
2021-03-12	80.0
2021-03-19	79.0
2021-03-26	79.5
2021-03-30	78.0
2021-04-07	77.4
2021-04-15	76.5
2021-05-07	76.4
2021-05-27	77.5
2021-05-31	77.2
2021-06-06	78.5
2021-06-08	76.9
2021-06-11	78.0
2021-06-24	77.9
2021-06-26	78.4
2021-07-03	76.3
2021-07-11	77.3
2021-08-18	77.4
2021-08-02	78.7
2021-08-08	77.3
2021-08-21	77.9
2021-08-27	78.5
2021-09-21	78.6
2021-09-26	78.9
2021-10-29	79.5
2021-11-02	78.6
2021-11-09	80.6
<<<<<<< HEAD
2021-11-22  80.1 
2021-11-25  78.6 
2021-11-26  78.7
2021-12-04  80.1
2021-12-10  80.3
2021-12-12	79.8
2021-12-23	79.2
2021-12-23	78.0
2021-12-23	79.0
=======
2021-11-13	79.1
2022-01-19	80.1
2022-03-23	78.4
>>>>>>> 86995eb21f0bc9684eebf8d07e7022371433ab67
